REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,ANAGNI,FROSINONE,FRIC84500P,I.C. 2^ ANAGNI,FREE84502T,I.C. 2 ANAGNI PANTANELLO PRIM.,VIA PONTE SPALLATO/FOSSO DEL LUPO,03012,SCUOLA PRIMARIA
LAZIO,FIUMICINO,ROMA,RMIC8DH001,IC FREGENE -PASSOSCURO,RMAA8DH01T,PASSOSCURO,VIA SERRENTI 72,00050,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC82800Q,PIETRO M.CORRADINI,RMAA82801L,VIA SAN MATTEO,VIA SAN MATTEO 102,00044,SCUOLA INFANZIA
LAZIO,ORTE,VITERBO,VTIS00400D,IST. OMNICOMPRENSIVO ORTE,VTPS00401X,"""DON DELFO GIOACCHINI"" ORTE",VIA DEL CAMPO SPORTIVO 33,01028,LICEO SCIENTIFICO
LAZIO,ROMA,ROMA,RMIC839006,IC VIA G. MESSINA,RMEE839029,VIA CARLO FADDA,VIA CARLO FADDA 91/93,00173,SCUOLA PRIMARIA
LAZIO,VELLETRI,ROMA,RMIC8F700A,"I.C. "" GINO FELCI """,RMAA8F7039,VELLETRI - IQBAL MASIQ,VIALE ALDO MORO,00049,SCUOLA INFANZIA
LAZIO,MONTEFIASCONE,VITERBO,VTIC82800T,I.C. MONTEFIASCONE,VTAA82803R,PLESSO DI ZEPPONAMI,VIA GIGLIO VECCHIO,01027,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMPS65000Q,LICEO STATALE DEMOCRITO,RMPS65000Q,LICEO STATALE DEMOCRITO,VIA PRASSILLA N.79,00124,LICEO SCIENTIFICO
LAZIO,RONCIGLIONE,VITERBO,VTIC81000L,I.C. VIRGILI RONCIGLIONE,VTEE81001P,SCUOLA PRIMARIA-RONCIGLIONE,VIA DELLE VIGNE N.10,01037,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMTF040002,E. FERMI,RMTF040002,E. FERMI,VIA TRIONFALE 8737,00135,ISTITUTO TECNICO INDUSTRIALE
LAZIO,ROMA,ROMA,RMIC8FY006,I.C. MARIO LODI,RMMM8FY017,GIORGIO MORANDI,VIA D'AVARNA 9/11,00151,SCUOLA PRIMO GRADO
LAZIO,FONTE NUOVA,ROMA,RMIC875009,"""LUIGI PIRANDELLO""",RMAA875016,SCUOLA DELL'INFANZIA PETER PAN,VIA CAMPANIA 91113,00013,SCUOLA INFANZIA
LAZIO,SORA,FROSINONE,FRIC850006,"I.C. 2^ ""RICCARDO GULIA"" SORA",FRAA850046,S.LORENZO,VIA PISACANE,03039,SCUOLA INFANZIA
LAZIO,FROSINONE,FROSINONE,FRMM466008,8^ CPIA PROVINCIA FROSINONE,FREE701016,FROSINONE CASA CIRCONDARIALE,Non Disponibile,03100,SCUOLA PRIMARIA
